SEASON_ID,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,MATCHUP,WL,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FT_PCT,FG3_PCT,PLUS_MINUS,IS_HOME,LAST5_PTS,LAST5_REB,LAST5_AST,LAST5_STL,LAST5_BLK,LAST5_TOV,LAST5_FG_PCT,LAST5_FT_PCT,LAST5_FG3_PCT,LAST5_PLUS_MINUS
22017,0021700048,2017-10-23 00:00:00,1610612756,23,1387,1,117,45,20,6,5,20,0.545,0.852,0.333,2,1,98.0,39.666666666666664,15.333333333333334,8.333333333333334,6.666666666666667,18.333333333333332,0.39466666666666667,0.7143333333333333,0.33066666666666666,-30.666666666666668
22017,0021700052,2017-10-24 00:00:00,1610612750,17,1026,0,107,27,27,9,4,14,0.488,0.636,0.375,-23,1,104.66666666666667,43.666666666666664,21.666666666666668,7.666666666666667,2.3333333333333335,15.666666666666666,0.45966666666666667,0.791,0.37966666666666665,-1.0
22017,0021700054,2017-10-24 00:00:00,1610612762,28,1636,0,84,41,20,7,7,18,0.43,0.818,0.25,-18,0,99.66666666666667,38.333333333333336,24.333333333333332,10.0,5.666666666666667,17.666666666666668,0.49366666666666664,0.8493333333333334,0.36466666666666664,5.333333333333333
22017,0021700051,2017-10-24 00:00:00,1610612738,2,163,1,110,41,26,11,7,14,0.493,0.815,0.483,21,1,100.33333333333333,48.0,21.0,9.0,3.6666666666666665,15.333333333333334,0.4183333333333333,0.6573333333333333,0.3293333333333333,-0.3333333333333333
22017,0021700049,2017-10-24 00:00:00,1610612741,4,236,0,112,39,28,3,3,12,0.477,0.846,0.515,-7,0,88.5,43.5,20.0,5.0,3.5,19.5,0.397,0.8335,0.2995,-13.5
22017,0021700053,2017-10-24 00:00:00,1610612757,24,1439,1,103,63,17,7,7,18,0.375,0.818,0.345,10,1,116.0,50.0,19.666666666666668,7.666666666666667,6.333333333333333,14.333333333333334,0.4643333333333333,0.8123333333333335,0.48333333333333334,21.0
22017,0021700054,2017-10-24 00:00:00,1610612746,12,752,1,102,44,21,12,4,13,0.47,0.667,0.345,18,1,119.0,55.5,24.5,12.0,2.5,13.5,0.46900000000000003,0.8280000000000001,0.41300000000000003,29.0
22017,0021700053,2017-10-24 00:00:00,1610612740,18,1067,0,93,42,17,5,7,17,0.395,0.75,0.3,-10,0,110.0,47.666666666666664,22.333333333333332,8.666666666666666,7.0,18.333333333333332,0.4683333333333333,0.726,0.3456666666666666,-4.333333333333333
22017,0021700050,2017-10-24 00:00:00,1610612753,21,1248,1,125,44,20,8,5,11,0.494,0.875,0.348,4,1,117.0,46.666666666666664,26.666666666666668,8.0,6.0,16.333333333333332,0.476,0.8253333333333334,0.4706666666666666,7.666666666666667
22017,0021700050,2017-10-24 00:00:00,1610612751,1,78,0,121,49,21,8,4,15,0.417,0.882,0.314,-4,0,124.33333333333333,47.333333333333336,23.666666666666668,10.666666666666666,5.333333333333333,18.666666666666668,0.48333333333333334,0.7653333333333334,0.38000000000000006,2.6666666666666665
22017,0021700051,2017-10-24 00:00:00,1610612752,19,1104,0,89,43,20,8,2,14,0.424,0.64,0.083,-21,0,95.5,40.0,19.5,7.0,3.0,20.0,0.43100000000000005,0.7450000000000001,0.27949999999999997,-12.5
22017,0021700052,2017-10-24 00:00:00,1610612754,11,654,1,130,42,31,8,2,18,0.667,0.727,0.455,23,0,114.66666666666667,43.666666666666664,20.666666666666668,7.333333333333333,5.666666666666667,12.0,0.4723333333333333,0.7206666666666667,0.285,-4.333333333333333
22017,0021700049,2017-10-24 00:00:00,1610612739,5,323,1,119,39,28,5,3,9,0.518,0.773,0.421,7,1,103.66666666666667,46.0,19.666666666666668,5.0,4.666666666666667,17.0,0.46166666666666667,0.8603333333333333,0.31,0.3333333333333333
22017,0021700058,2017-10-25 00:00:00,1610612739,5,291,0,107,47,21,5,7,21,0.481,0.654,0.343,-5,0,107.5,44.25,21.75,5.0,4.25,15.0,0.47575,0.8385,0.33775,2.0
22017,0021700061,2017-10-25 00:00:00,1610612763,14,818,0,94,36,14,7,2,18,0.458,0.667,0.387,-9,0,104.0,41.0,18.333333333333332,7.333333333333333,4.666666666666667,12.666666666666666,0.43933333333333335,0.758,0.332,10.0
22017,0021700060,2017-10-25 00:00:00,1610612754,11,657,0,96,41,13,13,2,19,0.337,0.857,0.345,-18,0,118.5,43.25,23.25,7.5,4.75,13.5,0.521,0.7222500000000001,0.3275,2.5
22017,0021700056,2017-10-25 00:00:00,1610612750,17,994,0,101,37,19,5,4,14,0.435,0.857,0.36,-21,0,105.25,39.5,23.0,8.0,2.75,15.25,0.46675,0.75225,0.3785,-6.5
22017,0021700062,2017-10-25 00:00:00,1610612762,28,1647,0,88,44,20,8,10,23,0.416,0.72,0.24,-9,0,95.75,39.0,23.25,9.25,6.0,17.75,0.47775,0.8414999999999999,0.33599999999999997,-0.5
22017,0021700062,2017-10-25 00:00:00,1610612756,23,1390,1,97,55,18,8,5,16,0.438,0.778,0.316,9,1,102.75,41.0,16.5,7.75,6.25,18.75,0.43225,0.74875,0.33125,-22.5
22017,0021700057,2017-10-25 00:00:00,1610612745,10,601,1,105,40,22,11,13,19,0.48,0.875,0.308,1,0,106.0,45.0,22.25,8.25,3.5,15.25,0.44375,0.793,0.276,3.5
22017,0021700063,2017-10-25 00:00:00,1610612744,9,577,1,117,37,32,10,7,17,0.558,0.864,0.462,5,1,120.75,46.5,29.0,6.75,8.0,17.0,0.50125,0.85075,0.42100000000000004,6.75
22017,0021700059,2017-10-25 00:00:00,1610612759,26,1523,1,117,44,18,6,3,13,0.553,0.767,0.588,17,0,98.33333333333333,52.333333333333336,22.0,6.666666666666667,8.666666666666666,14.0,0.438,0.7386666666666667,0.238,7.333333333333333
22017,0021700056,2017-10-25 00:00:00,1610612765,8,509,1,122,47,32,7,3,14,0.522,0.647,0.441,21,1,102.5,40.5,19.5,9.0,2.0,13.75,0.44825,0.83425,0.32025,0.25
22017,0021700059,2017-10-25 00:00:00,1610612748,15,924,0,100,32,19,6,2,9,0.463,0.944,0.346,-17,1,108.33333333333333,43.333333333333336,24.0,8.0,7.0,15.333333333333334,0.4706666666666666,0.6676666666666667,0.35233333333333333,2.6666666666666665
22017,0021700063,2017-10-25 00:00:00,1610612761,27,1575,0,112,42,30,10,6,18,0.457,0.947,0.235,-5,0,114.0,44.666666666666664,22.0,8.666666666666666,6.0,15.0,0.45566666666666666,0.8530000000000001,0.3376666666666666,15.666666666666666
22017,0021700058,2017-10-25 00:00:00,1610612751,1,91,1,112,38,22,11,3,13,0.43,0.714,0.37,5,1,123.5,47.75,23.0,10.0,5.0,17.75,0.46675,0.7945,0.3635,1.0
22017,0021700055,2017-10-25 00:00:00,1610612766,3,209,1,110,50,17,5,5,14,0.469,0.808,0.419,17,1,97.66666666666667,50.666666666666664,16.666666666666668,4.0,4.0,17.333333333333332,0.4166666666666667,0.7253333333333334,0.2916666666666667,-1.0
22017,0021700061,2017-10-25 00:00:00,1610612742,6,390,1,103,35,20,6,4,11,0.486,0.69,0.423,9,1,98.25,40.0,21.5,7.5,2.75,13.5,0.405,0.73325,0.36,-14.25
22017,0021700057,2017-10-25 00:00:00,1610612755,22,1315,0,104,43,29,14,7,16,0.443,0.6,0.333,-1,1,99.5,46.25,22.0,7.25,3.5,18.75,0.42475,0.712,0.3625,-9.5
22017,0021700064,2017-10-25 00:00:00,1610612764,29,1695,0,99,45,20,11,5,15,0.411,0.652,0.231,-3,0,114.66666666666667,42.333333333333336,23.333333333333332,11.0,6.666666666666667,14.0,0.46866666666666673,0.8490000000000001,0.30866666666666664,4.666666666666667
22017,0021700064,2017-10-25 00:00:00,1610612747,13,811,1,102,53,27,9,5,22,0.446,0.813,0.233,3,1,112.0,44.0,23.333333333333332,7.666666666666667,5.333333333333333,18.333333333333332,0.4706666666666666,0.6953333333333332,0.34833333333333333,-7.0
